"","E-Day Vote","Early Vote"
"Alabama",0.0146957425251009,0.000592475767977668
"Alaska",0.00166249887250576,0.000563640677285737
"Arizona",0.00653631304390034,0.0136186678207541
"Arkansas",0.00428725219388038,0.0047574028285446
"California",0.0547206560722682,0.0498136207487933
"Colorado",0.00299674350118597,0.0167215794121585
"Connecticut",0.0111609533824971,0.0004165287634629
"Delaware",0.00290621505332951,0.000138020761897197
"District of Columbia",0.0015822602849181,0.00118241894066228
"Florida",0.0229478976522179,0.0387581118139693
"Georgia",0.0133767382009772,0.0173530807573087
"Hawaii",0.00176480585628794,0.00156099642658998
"Idaho",0.00375900162564494,0.00144775344407252
"Illinois",0.0272351249099334,0.0142975386973679
"Indiana",0.0145696884904032,0.00574726850707282
"Iowa",0.00604524235017076,0.00456085116879036
"Kansas",0.00533279027336436,0.00371536862805553
"Kentucky",0.0128409734465458,0.000690445686362026
"Louisiana",0.0111183213675827,0.00391940549556182
"Maine",0.00388586371819574,0.00160371905116949
"Maryland",0.0122449254041549,0.00757906773123591
"Massachusetts",0.0161567682734716,0.0079666627748876
"Michigan",0.025397913269567,0.00893026508239075
"Minnesota",0.0159723134743556,0.00391483283318458
"Mississippi",0.00992217642399192,0.000820020947619873
"Missouri",0.0193711910783266,0.00188429543625408
"Montana",0.0015373444738345,0.00224986393146627
"Nebraska",0.00479935363240725,0.00171997420302349
"Nevada",0.00285017149640664,0.00581230873149126
"New Hampshire",0.00473597565878199,0.000355931364972607
"New Jersey",0.0246242191356319,0.00209786729440354
"New Mexico",0.00185762480160152,0.00369996659942348
"New York",0.0543125496983768,0.00305853884872055
"North Carolina",0.0129796946931043,0.0211119671209465
"North Dakota",0.00182324545028473,0.000814875436673045
"Ohio",0.0271130158022687,0.0123783006168354
"Oklahoma",0.00944402846740605,0.00192990458083734
"Oregon",0.00147721539669549,0.0126623534100963
"Pennsylvania",0.0422374309416835,0.00165150747275011
"Rhode Island",0.00316573175467407,0.00022122749996905
"South Carolina",0.012762776804539,0.00353669364338525
"South Dakota",0.00203707888543157,0.000607596699486789
"Tennessee",0.00710403913679744,0.0118334014019144
"Texas",0.0200583228106268,0.0498499031378879
"Utah",0.00285104026671464,0.00612659018855188
"Vermont",0.00165158811350861,0.000556649650205117
"Virginia",0.0258993854734167,0.00309213640309893
"Washington",0.00238352299537402,0.0221996183684328
"West Virginia",0.0040604086627188,0.00122568167032777
"Wisconsin",0.0164012061090496,0.00597139550388756
"Wyoming",0.00150243816690809,0.000521926444762917
