"","Region","Type","Targets.Old","Targets.New","Original"
"1","Northeast","LargeCentralMetro",0.0126189351087081,0.0475016977228682,0.0761555517653079
"2","Midwest","LargeCentralMetro",0.00271034964948894,0.0524683702334503,0.0542810847688896
"3","South","LargeCentralMetro",0.00714069558215398,0.0862499379504947,0.0600801637387003
"4","West","LargeCentralMetro",0.00626684999878062,0.0873874693181955,0.082807436465973
"5","Northeast","LargeFringeMetro",0.042063117029027,0.0716901218854731,0.0849820910796521
"6","Midwest","LargeFringeMetro",0.0225862470790745,0.0637784017997364,0.0570527033941668
"7","South","LargeFringeMetro",0.0505138094885707,0.103524689257115,0.0765393143441924
"8","West","LargeFringeMetro",0.0120860678547912,0.0320555677146933,0.02268463244073
"9","Northeast","MediumMetro",0.0319679689420605,0.0369042376433553,0.0478850417874808
"10","Midwest","MediumMetro",0.0176172727216781,0.0397230080887201,0.0413610779464438
"11","South","MediumMetro",0.0550098030032603,0.0904875436592843,0.0812297458638922
"12","West","MediumMetro",0.0219339749957322,0.0437531667256745,0.047074876343169
"13","Northeast","SmallMetro",0.0227140831956746,0.0106020929043647,0.0223861504349309
"14","Midwest","SmallMetro",0.0252965967285635,0.0300244235918838,0.0297629200068224
"15","South","SmallMetro",0.0441665245266561,0.0359700204448942,0.032321337199386
"16","West","SmallMetro",0.0232768714240423,0.0173443130909652,0.0198277332423674
"17","Northeast","Micropolitan",0.0386980676667049,0.0106782387204602,0.00865597816817329
"18","Midwest","Micropolitan",0.0524000932234529,0.0299714956807667,0.0428961282619819
"19","South","Micropolitan",0.0690267239608218,0.0315850786130834,0.020979020979021
"20","West","Micropolitan",0.0456584785625445,0.0138150996036639,0.0231536755927
"21","Northeast","Noncore",0.0344917559638021,0.00517753902945577,0.0167149923247484
"22","Midwest","Noncore",0.117900209752769,0.0225450697604697,0.0227272727272727
"23","South","Noncore",0.150748017845473,0.0287883044820644,0.0196145318096538
"24","West","Noncore",0.0931074856961693,0.00797411207886773,0.00882653931434419
