"","Var1","Freq"
"1","Male",10
"2","Female",5
"3","18-29",4
"4","30-59",8
"5","60+",3
"6","Early",15
"7","EDay",0
"8","White:HSLess",11
"9","White:SomeCollege",0
"10","White:College",0
"11","Black:HSLess",1
"12","Black:SomeCollege",0
"13","Black:College",0
"14","Hispanic:HSLess",1
"15","Hispanic:SomeCollege",1
"16","Hispanic:College",0
"17","Other:HSLess",1
"18","Other:SomeCollege",0
"19","Other:College",0
"20","18-24",2
"21","25-29",2
"22","30-39",3
"23","40-44",1
"24","45-49",1
"25","50-59",3
"26","60-64",0
"27","65+",3
"28","LargeCentralMetro",3
"29","LargeFringeMetro",2
"30","MediumMetro",1
"31","SmallMetro",2
"32","Micropolitan",4
"33","Noncore",3
